event_type,support_limb,frame_100hz,source
heel_strike,L,7073,GRF
toe_off,R,7086,GRF
heel_strike,R,7129,GRF
toe_off,L,7141,GRF
heel_strike,L,7184,GRF
toe_off,R,7198,GRF
heel_strike,R,7239,GRF
toe_off,L,7253,GRF
heel_strike,L,7294,GRF
toe_off,R,7307,GRF
heel_strike,R,7348,GRF
toe_off,L,7363,GRF
heel_strike,L,7402,GRF
toe_off,R,7417,GRF
heel_strike,R,7457,GRF
toe_off,L,7472,GRF
heel_strike,L,7512,GRF
toe_off,R,7527,GRF
heel_strike,R,7567,GRF
toe_off,L,7581,GRF
heel_strike,L,7623,GRF
toe_off,R,7635,GRF
heel_strike,R,7678,GRF
toe_off,L,7691,GRF
heel_strike,L,7734,GRF
toe_off,R,7747,GRF
heel_strike,R,7791,GRF
toe_off,L,7804,GRF
heel_strike,L,7846,GRF
toe_off,R,7860,GRF
heel_strike,R,7900,GRF
toe_off,L,7914,GRF
heel_strike,L,7956,GRF
toe_off,R,7970,GRF
heel_strike,R,8011,GRF
toe_off,L,8024,GRF
heel_strike,L,8067,GRF
toe_off,R,8081,GRF
heel_strike,R,8122,GRF
toe_off,L,8135,GRF
heel_strike,L,8178,GRF
toe_off,R,8192,GRF
heel_strike,R,8235,GRF
toe_off,L,8248,GRF
heel_strike,L,8290,GRF
toe_off,R,8305,GRF
heel_strike,R,8346,GRF
toe_off,L,8360,GRF
heel_strike,L,8403,GRF
toe_off,R,8417,GRF
heel_strike,R,8459,GRF
toe_off,L,8472,GRF
heel_strike,L,8515,GRF
toe_off,R,8528,GRF
heel_strike,R,8570,GRF
toe_off,L,8583,GRF
heel_strike,L,8627,GRF
toe_off,R,8640,GRF
heel_strike,R,8681,GRF
toe_off,L,8694,GRF
heel_strike,L,8737,GRF
toe_off,R,8751,GRF
heel_strike,R,8793,GRF
toe_off,L,8806,GRF
heel_strike,L,8850,GRF
toe_off,R,8863,GRF
heel_strike,R,8905,GRF
toe_off,L,8918,GRF
heel_strike,L,8960,GRF
toe_off,R,8975,GRF
heel_strike,R,9014,GRF
toe_off,L,9026,GRF
heel_strike,L,9068,GRF
toe_off,R,9081,GRF
heel_strike,R,9122,GRF
toe_off,L,9136,GRF
heel_strike,L,9177,GRF
toe_off,R,9191,GRF
heel_strike,R,9232,GRF
toe_off,L,9246,GRF
heel_strike,L,9289,GRF
toe_off,R,9302,GRF
heel_strike,R,9344,GRF
toe_off,L,9358,GRF
heel_strike,L,9400,GRF
toe_off,R,9414,GRF
heel_strike,R,9458,GRF
toe_off,L,9471,GRF
heel_strike,L,9515,GRF
toe_off,R,9528,GRF
heel_strike,R,9571,GRF
toe_off,L,9584,GRF
heel_strike,L,9627,GRF
toe_off,R,9642,GRF
heel_strike,R,9682,GRF
toe_off,L,9695,GRF
heel_strike,L,9738,GRF
toe_off,R,9752,GRF
heel_strike,R,9795,GRF
toe_off,L,9808,GRF
heel_strike,L,9849,GRF
toe_off,R,9863,GRF
heel_strike,R,9908,GRF
toe_off,L,9921,kinematic
heel_strike,L,9963,GRF
toe_off,R,9978,GRF
heel_strike,R,10018,GRF
toe_off,L,10031,GRF
heel_strike,L,10073,GRF
toe_off,R,10087,GRF
heel_strike,R,10128,GRF
toe_off,L,10140,GRF
heel_strike,L,10182,GRF
toe_off,R,10196,GRF
heel_strike,R,10238,GRF
toe_off,L,10252,GRF
heel_strike,L,10291,GRF
toe_off,R,10306,GRF
heel_strike,R,10345,GRF
toe_off,L,10359,GRF
heel_strike,L,10401,GRF
toe_off,R,10416,GRF
heel_strike,R,10456,GRF
toe_off,L,10470,GRF
heel_strike,L,10512,GRF
toe_off,R,10526,GRF
heel_strike,R,10567,GRF
toe_off,L,10581,GRF
heel_strike,L,10621,GRF
toe_off,R,10637,GRF
heel_strike,R,10677,GRF
toe_off,L,10691,GRF
heel_strike,L,10729,GRF
toe_off,R,10744,GRF
heel_strike,R,10783,GRF
toe_off,L,10797,GRF
heel_strike,L,10840,GRF
toe_off,R,10853,GRF
heel_strike,R,10895,GRF
toe_off,L,10908,GRF
heel_strike,L,10953,GRF
toe_off,R,10966,GRF
heel_strike,R,11010,GRF
toe_off,L,11023,GRF
heel_strike,L,11065,GRF
toe_off,R,11080,GRF
heel_strike,R,11121,GRF
toe_off,L,11135,GRF
heel_strike,L,11178,GRF
toe_off,R,11192,GRF
heel_strike,R,11233,GRF
toe_off,L,11246,GRF
heel_strike,L,11289,GRF
toe_off,R,11303,GRF
heel_strike,R,11345,GRF
toe_off,L,11358,GRF
heel_strike,L,11403,GRF
toe_off,R,11416,GRF
heel_strike,R,11458,GRF
toe_off,L,11471,GRF
heel_strike,L,11512,GRF
toe_off,R,11527,GRF
heel_strike,R,11569,GRF
toe_off,L,11582,GRF
heel_strike,L,11623,GRF
toe_off,R,11638,GRF
heel_strike,R,11679,GRF
toe_off,L,11693,GRF
heel_strike,L,11736,GRF
toe_off,R,11750,GRF
heel_strike,R,11790,GRF
toe_off,L,11804,GRF
